user,item
1254,750
229,27
551,556
247,724
1320,873
289,41
1357,355
1201,707
1180,643
767,589
906,239
981,207
854,679
75,785
318,706
1114,167
272,384
440,751
969,650
595,94
1017,443
566,266
527,54
527,521
786,156
57,408
1083,158
825,285
355,582
1197,707
602,166
1203,198
390,830
653,71
339,69
11,95
379,41
647,611
29,731
1342,311
1016,586
149,699
10,246
967,168
305,718
690,226
153,462
1200,829
1187,227
1339,707
372,239
673,584
1265,398
299,94
1258,607
1371,381
1312,285
1027,145
177,692
346,450
1075,769
803,285
168,461
880,811
504,315
972,672
302,803
558,574
3,0
607,660
942,156
84,611
1150,496
108,119
249,88
486,198
894,551
239,26
1183,192
965,285
621,511
1310,331
1303,791
529,226
1115,360
1053,865
235,730
831,152
978,634
171,77
526,54
1034,594
425,166
596,497
1346,530
82,94
1079,504
731,504
395,437
1384,829
792,94
436,44
77,44
56,186
338,145
220,366
1160,899
59,750
356,839
1345,769
573,799
1254,642
285,565
581,574
995,422
866,510
1244,253
885,104
1398,429
210,40
480,60
677,146
680,370
707,759
838,594
1213,295
1335,706
102,9
229,74
175,259
861,479
338,428
350,279
1015,251
694,457
288,718
702,645
39,327
690,74
1183,850
267,27
1325,578
920,387
1076,335
382,331
494,387
136,201
11,94
1034,506
21,69
773,259
1130,291
114,615
898,121
1209,249
272,884
8,843
945,707
1141,275
1097,862
950,351
911,833
1323,869
1158,365
308,706
140,268
1372,488
200,326
30,183
1032,304
559,94
1152,419
747,624
705,504
675,144
1173,188
429,299
375,795
1402,536
72,683
527,67
862,99
820,192
227,893
1208,779
691,450
360,38
1169,765
669,156
1273,611
1285,763
533,351
520,53
1244,869
85,639
236,25
662,324
1267,697
622,66
802,707
1204,644
1206,200
326,32
354,397
804,360
371,88
376,41
1314,706
674,784
276,29
793,94
110,488
1109,419
524,512
1252,748
1204,247
790,258
114,94
316,718
1275,484
910,222
1063,411
1367,413
1228,812
942,157
68,258
409,561
179,775
831,168
10,127
908,113
89,6
1221,212
984,322
589,707
859,735
333,34
756,406
1055,521
521,431
1138,574
196,247
1133,386
84,577
257,151
1025,167
363,584
986,578
1104,166
242,26
286,175
350,736
1066,769
1180,330
1383,710
554,188
640,69
1426,894
1186,194
954,515
588,62
1238,405
450,693
327,64
588,706
1033,464
680,292
1012,690
165,45
805,409
1219,209
485,538
973,295
811,563
115,460
1219,831
1336,472
167,508
637,896
428,334
671,301
1250,706
819,738
19,3
1384,846
1094,887
1029,530
1405,830
697,74
680,690
897,321
399,43
154,20
124,11
216,25
524,228
83,388
598,617
36,531
174,129
130,322
1177,302
842,352
279,601
91,176
341,475
220,167
44,384
300,31
159,129
2,690
1138,877
106,745
62,295
459,349
547,294
525,626
807,436
348,836
999,132
1216,774
307,31
154,463
1351,329
1092,163
130,496
301,607
1290,867
428,129
639,208
741,789
104,388
488,372
891,106
255,762
1290,268
683,605
523,61
550,61
1418,889
1043,828
1203,222
680,693
373,280
279,811
157,429
788,314
338,783
506,511
989,476
475,46
536,672
1302,855
1281,763
450,67
764,303
1120,168
38,729
1125,504
371,868
11,285
954,285
1318,517
185,50
495,417
66,737
517,860
431,261
793,372
685,604
256,574
1378,387
250,302
1075,742
381,700
1425,706
486,701
1080,700
330,795
280,286
923,120
608,66
433,416
943,117
595,62
808,506
305,677
1256,724
19,497
1013,138
897,172
205,214
845,258
614,259
211,24
928,814
1343,312
132,644
692,74
438,459
906,198
1256,821
540,533
1339,784
1157,187
1171,683
913,215
163,279
1039,188
332,44
1051,436
7,428
831,156
404,197
657,809
975,605
268,61
410,795
1022,298
859,97
913,475
172,84
965,123
968,703
18,488
773,692
1185,785
701,116
60,519
755,93
105,783
1176,408
776,539
1278,254
10,495
184,541
623,74
241,36
260,27
514,473
238,555
223,274
203,44
1231,218
912,114
929,470
366,456
225,503
1304,279
437,378
1084,357
1035,463
649,71
874,116
214,71
631,576
726,523
1303,795
919,266
839,706
454,361
46,263
388,811
817,245
